Core#  istart#  iend#  jstart#  jend#
     0      1    150      1    120
     1      1    150    121    240
     2      1    150    241    360
     3      1    150    361    480
     4      1    150    481    600
     5    151    300      1    120
     6    151    300    121    240
     7    151    300    241    360
     8    151    300    361    480
     9    151    300    481    600
    10    301    450      1    120
    11    301    450    121    240
    12    301    450    241    360
    13    301    450    361    480
    14    301    450    481    600
    15    451    600      1    120
    16    451    600    121    240
    17    451    600    241    360
    18    451    600    361    480
    19    451    600    481    600
